Id,SalePrice
1746,129000
1747,143000
1748,100000
1749,167000
1750,205000
1751,190000
1752,115000
1753,35311
1754,105000
1755,105500
1756,89471
1757,162000
1758,135000
1759,107000
1760,79000
1761,60000
1762,165000
1763,260000
1764,155000
1765,124000
1766,134500
1767,68400
1768,115000
1769,112000
1770,110000
1771,128000
1772,55993
1773,132000
1774,132000
1775,163000
1776,133000
1777,62383
1778,139000
1779,112000
1780,100000
1781,189000
1782,110000
1783,34900
1784,76000
1785,85000
1786,110000
1787,142000
1788,114500
1789,118000
1790,136000
1791,137500
1792,82500
1793,139000
1794,119000
1795,80000
1796,135000
1797,102000
1798,155000
1799,135000
1800,131400
1801,96500
1802,87000
1803,132000
1804,125500
1805,131000
1806,93000
1807,79000
1808,88000
1809,99900
1810,90350
1811,107400
1812,90000
1813,37900
1814,55000
1815,115000
1816,110000
1817,58500
1818,95000
1819,137450
1820,37900
1821,113000
1822,115000
1823,82000
1824,87000
1825,135000
1826,79000
1827,103600
1828,78000
1829,122000
1830,89500
1831,78000
1832,79000
1833,52000
1834,179000
1835,141000
1836,135000
1837,132000
1838,135000
1839,190000
1840,120000
1841,97500
1842,128900
1843,174500
1844,91000
1845,75000
1846,146800
1847,148000
1848,113000
1849,153337
1850,110000
1851,110000
1852,110000
1853,145000
1854,297000
1855,189000
1856,210000
1857,194500
1858,179900
1859,232000
1860,178000
1861,181000
1862,138000
1863,215000
1864,200500
1865,173000
1866,82500
1867,136500
1868,129000
1869,193500
1870,287000
1871,165400
1872,197900
1873,208900
1874,203000
1875,173000
1876,208900
1877,110000
1878,88000
1879,145000
1880,110000
1881,135000
1882,115000
1883,55993
1884,102000
1885,108000
1886,128000
1887,97500
1888,153575
1889,117000
1890,115000
1891,200000
1892,108000
1893,217500
1894,148500
1895,111000
1896,124000
1897,124000
1898,124000
1899,140000
1900,150000
1901,122000
1902,55000
1903,392500
1904,250000
1905,171000
1906,151000
1907,134900
1908,228950
1909,147000
1910,215000
1911,124000
1912,184900
1913,315500
1914,154000
1915,82500
1916,110000
1917,104900
1918,163000
1919,78000
1920,122900
1921,192000
1922,162000
1923,192000
1924,185000
1925,130500
1926,134000
1927,189000
1928,181000
1929,181000
1930,275000
1931,309000
1932,315000
1933,385000
1934,110000
1935,182900
1936,175500
1937,127500
1938,153000
1939,82500
1940,150000
1941,154000
1942,152000
1943,152000
1944,337000
1945,135000
1946,86000
1947,105900
1948,106000
1949,118000
1950,113000
1951,148500
1952,140000
1953,369900
1954,611657
1955,264132
1956,426000
1957,250000
1958,250000
1959,248000
1960,335000
1961,111000
1962,167900
1963,437154
1964,230000
1965,318061
1966,214000
1967,318061
1968,254000
1969,254000
1970,175500
1971,234000
1972,174000
1973,181134
1974,180000
1975,183500
1976,215000
1977,224000
1978,173000
1979,178000
1980,215000
1981,185000
1982,163900
1983,285000
1984,187500
1985,269790
1986,290000
1987,290000
1988,157000
1989,232000
1990,239799
1991,165000
1992,250580
1993,245000
1994,229456
1995,196500
1996,180000
1997,81000
1998,179900
1999,175900
2000,201000
2001,149000
2002,200500
2003,185900
2004,83000
2005,130500
2006,140000
2007,60000
2008,180000
2009,135000
2010,250000
2011,285000
2012,196000
2013,144152
2014,146000
2015,176000
2016,144000
2017,119000
2018,197000
2019,164000
2020,151000
2021,236000
2022,172500
2023,172500
2024,171900
2025,270000
2026,135000
2027,170000
2028,192500
2029,173000
2030,110000
2031,129000
2032,85000
2033,154000
2034,156000
2035,142600
2036,154000
2037,135000
2038,135000
2039,78000
2040,175000
2041,83500
2042,139000
2043,190000
2044,98600
2045,102000
2046,140000
2047,139000
2048,110000
2049,162000
2050,109500
2051,190000
2052,110000
2053,80000
2054,126175
2055,116000
2056,153500
2057,164900
2058,100000
2059,82500
2060,154000
2061,127000
2062,117000
2063,91500
2064,135000
2065,141000
2066,110500
2067,82000
2068,132500
2069,147000
2070,120000
2071,114504
2072,66500
2073,91000
2074,107500
2075,134900
2076,89500
2077,79900
2078,163000
2079,85000
2080,67000
2081,119900
2082,117000
2083,131500
2084,140000
2085,78000
2086,96500
2087,90000
2088,137500
2089,67000
2090,117500
2091,87000
2092,100000
2093,82500
2094,52500
2095,145000
2096,91000
2097,128000
2098,135000
2099,82000
2100,107400
2101,79000
2102,135000
2103,37900
2104,128000
2105,162900
2106,87000
2107,155000
2108,137500
2109,87000
2110,55993
2111,88000
2112,102000
2113,106000
2114,100000
2115,119500
2116,62383
2117,80000
2118,80000
2119,153500
2120,159950
2121,118500
2122,129500
2123,78000
2124,129000
2125,120000
2126,132500
2127,128900
2128,95000
2129,78000
2130,104900
2131,146800
2132,79000
2133,141000
2134,141000
2135,81000
2136,187500
2137,193500
2138,165600
2139,170000
2140,156932
2141,295493
2142,385000
2143,244600
2144,147000
2145,130500
2146,152000
2147,235000
2148,190000
2149,180000
2150,230000
2151,135000
2152,169900
2153,123000
2154,228500
2155,261500
2156,275000
2157,287000
2158,195000
2159,149000
2160,110000
2161,192000
2162,204000
2163,185000
2164,139000
2165,82500
2166,110000
2167,171000
2168,111250
2169,80000
2170,118000
2171,110000
2172,127500
2173,100000
2174,137450
2175,122500
2176,177500
2177,85000
2178,164000
2179,105500
2180,160000
2181,52500
2182,60000
2183,135000
2184,164000
2185,105500
2186,62383
2187,34900
2188,34900
2189,34900
2190,120000
2191,52000
2192,131500
2193,40000
2194,37900
2195,85000
2196,392500
2197,235000
2198,84500
2199,160000
2200,150000
2201,187500
2202,201000
2203,79900
2204,170000
2205,224500
2206,163000
2207,239000
2208,203000
2209,214000
2210,232000
2211,305000
2212,206300
2213,122000
2214,137500
2215,81000
2216,106500
2217,127000
2218,91000
2219,91000
2220,103200
2221,80000
2222,130500
2223,130500
2224,124500
2225,205000
2226,170000
2227,163900
2228,134000
2229,150900
2230,222000
2231,176000
2232,160200
2233,170000
2234,251000
2235,119000
2236,354000
2237,185000
2238,130000
2239,146000
2240,372402
2241,274900
2242,165000
2243,205000
2244,260000
2245,205000
2246,190000
2247,205000
2248,143000
2249,197500
2250,235000
2251,119200
2252,110000
2253,81000
2254,153900
2255,151000
2256,88000
2257,113000
2258,82500
2259,100000
2260,395000
2261,255500
2262,146000
2263,255500
2264,325000
2265,325000
2266,184750
2267,230000
2268,206300
2269,423000
2270,335000
2271,318000
2272,281213
2273,255000
2274,281000
2275,175900
2276,171750
2277,274725
2278,85400
2279,157000
2280,185850
2281,209500
2282,277500
2283,254000
2284,284000
2285,179665
2286,174000
2287,172785
2288,176000
2289,179665
2290,160200
2291,165600
2292,163900
2293,176485
2294,174000
2295,159895
2296,153500
2297,170000
2298,164990
2299,170000
2300,219500
2301,215000
2302,173000
2303,175000
2304,340000
2305,250000
2306,310000
2307,178000
2308,290000
2309,340000
2310,244600
2311,180000
2312,232000
2313,264561
2314,200141
2315,200000
2316,220000
2317,214000
2318,124000
2319,176485
2320,250580
2321,185900
2322,155835
2323,139000
2324,187750
2325,174000
2326,317000
2327,147000
2328,144000
2329,155000
2330,201000
2331,165600
2332,102000
2333,82500
2334,128500
2335,185000
2336,135000
2337,113000
2338,146000
2339,164500
2340,173733
2341,164000
2342,173733
2343,155000
2344,168500
2345,182000
2346,271000
2347,177500
2348,270000
2349,165000
2350,160000
2351,132500
2352,143000
2353,146800
2354,102000
2355,190000
2356,174000
2357,175500
2358,120000
2359,89471
2360,138500
2361,122000
2362,114500
2363,105900
2364,103200
2365,142000
2366,129000
2367,150900
2368,97500
2369,137500
2370,110000
2371,100000
2372,85500
2373,79500
2374,130000
2375,110000
2376,170000
2377,163000
2378,132000
2379,135000
2380,115000
2381,149350
2382,118500
2383,114500
2384,118500
2385,116050
2386,134500
2387,145000
2388,79000
2389,145000
2390,129000
2391,115000
2392,119000
2393,109008
2394,82500
2395,116000
2396,139000
2397,87000
2398,150000
2399,52500
2400,91000
2401,100000
2402,100000
2403,105000
2404,139000
2405,139000
2406,141000
2407,127000
2408,127000
2409,123000
2410,100000
2411,87000
2412,119000
2413,117000
2414,175000
2415,96500
2416,119000
2417,87000
2418,90000
2419,91500
2420,116000
2421,106000
2422,147000
2423,106000
2424,82500
2425,79500
2426,125500
2427,120000
2428,102000
2429,117000
2430,87000
2431,113000
2432,87000
2433,106000
2434,103000
2435,68400
2436,78000
2437,107000
2438,80000
2439,120000
2440,201800
2441,109900
2442,68400
2443,131000
2444,60000
2445,107000
2446,148000
2447,108000
2448,148000
2449,128000
2450,119900
2451,127000
2452,112500
2453,85000
2454,118400
2455,129000
2456,140000
2457,112000
2458,213250
2459,117000
2460,132250
2461,102000
2462,137900
2463,109000
2464,173000
2465,99500
2466,98600
2467,81000
2468,135000
2469,189000
2470,188000
2471,255500
2472,314813
2473,255500
2474,221500
2475,193879
2476,194000
2477,188000
2478,173000
2479,375000
2480,156000
2481,173500
2482,138000
2483,144000
2484,197900
2485,208500
2486,172785
2487,173000
2488,157000
2489,149900
2490,139500
2491,150000
2492,127000
2493,95000
2494,112500
2495,110000
2496,235000
2497,176000
2498,178000
2499,232000
2500,228500
2501,190000
2502,111000
2503,155835
2504,184900
2505,164990
2506,189000
2507,178000
2508,81000
2509,91000
2510,103000
2511,140000
2512,80000
2513,173500
2514,143000
2515,145000
2516,105000
2517,143000
2518,133000
2519,52500
2520,68400
2521,136500
2522,98600
2523,60000
2524,96500
2525,40000
2526,153575
2527,177000
2528,130000
2529,135000
2530,144000
2531,223000
2532,151000
2533,217500
2534,155900
2535,132250
2536,132000
2537,131000
2538,133000
2539,85000
2540,90000
2541,55993
2542,84500
2543,392500
2544,112000
2545,201000
2546,212000
2547,173000
2548,127500
2549,135000
2550,187500
2551,172500
2552,168000
2553,194500
2554,176000
2555,265900
2556,312500
2557,187500
2558,215000
2559,239000
2560,212000
2561,88000
2562,91000
2563,75000
2564,75000
2565,165500
2566,173000
2567,140000
2568,105000
2569,127500
2570,85400
2571,112500
2572,60000
2573,124500
2574,98600
2575,144000
2576,127500
2577,119200
2578,110000
2579,178000
2580,187500
2581,165400
2582,237000
2583,136500
2584,136500
2585,173000
2586,251000
2587,361919
2588,361919
2589,79900
2590,556581
2591,361919
2592,144000
2593,395192
2594,146800
2595,152000
2596,151000
2597,156932
2598,179000
2599,175000
2600,120500
2601,151000
2602,88000
2603,122500
2604,118000
2605,118000
2606,88000
2607,140000
2608,135000
2609,148500
2610,146000
2611,437154
2612,318000
2613,205000
2614,377426
2615,281000
2616,194700
2617,168000
2618,219210
2619,185900
2620,372402
2621,222000
2622,261500
2623,266000
2624,264561
2625,187750
2626,163990
2627,155835
2628,164990
2629,325300
2630,172785
2631,167240
2632,160200
2633,129500
2634,167240
2635,183500
2636,199900
2637,181134
2638,348000
2639,226700
2640,348000
2641,192000
2642,153000
2643,290000
2644,290000
2645,281000
2646,179900
2647,232600
2648,203000
2649,197000
2650,253000
2651,84500
2652,152000
2653,144000
2654,173000
2655,152000
2656,172400
2657,190000
2658,179200
2659,179200
2660,162000
2661,139000
2662,122500
2663,108000
2664,143000
2665,83000
2666,127000
2667,125500
2668,125500
2669,144000
2670,325000
2671,142500
2672,147400
2673,168500
2674,151000
2675,144000
2676,340000
2677,143000
2678,143000
2679,80000
2680,171000
2681,110000
2682,123000
2683,85000
2684,129000
2685,118000
2686,135000
2687,110000
2688,98600
2689,110000
2690,132000
2691,150000
2692,79000
2693,139000
2694,140000
2695,104900
2696,124000
2697,140000
2698,145000
2699,127000
2700,98600
2701,111000
2702,142000
2703,114500
2704,109000
2705,132000
2706,132000
2707,133700
2708,75000
2709,144000
2710,180000
2711,132500
2712,87000
2713,114504
2714,64500
2715,58500
2716,117000
2717,157500
2718,136500
2719,145000
2720,147500
2721,205000
2722,189000
2723,152000
2724,250000
2725,133700
2726,102000
2727,110000
2728,134500
2729,159000
2730,87000
2731,87000
2732,79000
2733,79000
2734,114504
2735,122500
2736,68400
2737,107900
2738,62383
2739,91500
2740,93000
2741,104900
2742,110000
2743,128500
2744,108500
2745,200000
2746,89000
2747,112500
2748,89500
2749,207000
2750,35311
2751,117000
2752,80000
2753,125000
2754,140000
2755,35311
2756,67000
2757,102000
2758,140000
2759,110000
2760,58500
2761,125000
2762,118500
2763,145000
2764,135000
2765,83000
2766,107000
2767,171000
2768,150900
2769,124000
2770,375000
2771,105000
2772,80000
2773,136000
2774,105000
2775,87000
2776,112000
2777,240000
2778,124000
2779,91500
2780,140000
2781,250000
2782,264561
2783,239799
2784,176000
2785,181000
2786,210000
2787,196500
2788,200000
2789,163900
2790,144000
2791,145000
2792,178000
2793,185000
2794,195000
2795,231500
2796,161750
2797,133000
2798,79000
2799,190000
2800,211000
2801,120000
2802,219500
2803,222000
2804,195000
2805,204000
2806,274300
2807,136500
2808,192000
2809,204900
2810,173000
2811,185000
2812,150000
2813,127500
2814,102000
2815,165400
2816,129000
2817,200000
2818,140000
2819,130000
2820,85000
2821,135000
2822,60000
2823,127000
2824,115000
2825,60000
2826,67000
2827,102000
2828,87000
2829,87000
2830,114504
2831,174500
2832,102000
2833,127500
2834,67000
2835,88000
2836,164000
2837,230000
2838,109900
2839,160000
2840,34900
2841,82500
2842,35311
2843,106500
2844,131500
2845,93000
2846,78000
2847,392500
2848,235000
2849,84500
2850,93000
2851,160000
2852,148000
2853,55993
2854,220000
2855,325624
2856,270000
2857,153500
2858,115000
2859,35311
2860,110000
2861,80000
2862,88000
2863,111000
2864,88000
2865,80000
2866,80000
2867,88000
2868,112000
2869,116000
2870,187500
